#C 2015 Widow Rockfish Assessment
#C Allan C. Hicks and Chantel R. Wetzel
#C NWFSC, NOAA, Seattle, WA

1916  #_styr
2014  #_endyr
1   #_nseas
12    #_months/season
1   #_spawn_seas
5   #_Nfleet
4   #_Nsurveys
1   #_N_areas

BottomTrawl%MidwaterTrawl%Hake%Net%HnL%JuvSurvey%Triennial%NWFSC%ForeignAtSea
#BTr  MTr  Hak  Net  HnL  JvS  Tri  NWS  FAS
# 1    2     3   4    5    6    7    8    9
0.5   0.5  0.5  0.5  0.5  0.5  0.55 0.65 0.5  #Fleet and survey timing in season
 1     1    1    1    1    1    1    1    1   #Area of each fleet and survey
 1     1    1    1    1                    #Units of each fleet: 1=Biomass(mt),2=Numbers(1000s)
0.01  0.01 0.01 0.01 0.01                  # SE of log(catch) by fleet for equilibrium and continuous options

2                                          #_Ngenders
40                                         #_Nages
 0    0    0     0    0                    #_init_equil_catch_for_each_fishery

99      #_N_lines_of_catch_to_read
#_catch_biomass(mt):_columns_are_fisheries,year,season
#BottomTrawl  MidwaterTrawl Hake  Net HnL Year  Season
558.84   0.00     0.00     0.00    42.04 1956  1
722.76   0.00     0.00     0.00    37.97 1957  1
664.89   0.00     0.00     0.00    36.74 1958  1
642.75   0.00     0.00     0.00    28.83 1959  1
788.79   0.00     0.00     0.00    22.08 1960  1
661.65   0.00     0.00     0.00    15.44 1961  1
741.75   0.00     0.00     0.00    15.80 1962  1
413.46   0.00     0.00     0.00    19.95 1963  1
588.18   0.00     0.00     0.00    13.11 1964  1
238.71   0.00     0.00     0.00    20.75 1965  1
579.45   0.00     3670.00  0.00    37.81 1966  1
886.31   0.00     3902.00  0.00    33.03 1967  1
412.41   0.00     1956.00  0.00    20.07 1968  1
469.50   0.00     358.00   0.00    19.98 1969  1
287.99   0.00     554.00   0.00    9.86  1970  1
378.59   0.00     701.00   0.00    12.04 1971  1
477.77   0.00     421.00   0.00    20.15 1972  1
481.42   0.00     656.00   0.00    18.25 1973  1
440.23   0.00     418.00   0.00    44.40 1974  1
450.93   0.00     391.16   0.00    30.00 1975  1
559.54   0.00     718.52   0.00    41.70 1976  1
924.82   0.00     119.34   0.00    40.75 1977  1
1215.76  0.00     191.88   0.00    161.22  1978  1
3139.81  5945.77  197.90   0.00    103.47  1979  1
5924.81  15580.85 272.00   0.00    59.63 1980  1
4868.53  22672.78 227.95   15.51   71.45 1981  1
4961.49  20650.50 157.51   38.11   186.56  1982  1
6625.36  3357.17  131.46   279.96  33.73 1983  1
3244.91  6425.92  294.74   324.80  26.62 1984  1
2575.58  5919.60  182.61   585.78  27.16 1985  1
3586.53  5346.79  256.77   500.83  83.39 1986  1
4145.12  8127.60  181.31   584.62  55.12 1987  1
4028.37  6090.58  231.61   220.71  73.46 1988  1
4513.47  7684.59  211.96   253.61  45.10 1989  1
5312.38  4373.87  230.18   411.15  134.37  1990  1
3864.50  2040.17  562.23   234.80   95.20 1991  1
4273.45  1466.21  451.49   45.43   175.50  1992  1
5655.13  2255.97  275.75   51.61   108.96  1993  1
3802.73  2161.90  612.07   58.40   81.71 1994  1
4086.87  2276.82  464.72   57.58   26.32 1995  1
3586.77  1846.39  837.74   16.12   32.67 1996  1
3777.00  2442.52  378.81   16.36   37.98 1997  1
2515.61  882.72   614.99   48.73   86.57 1998  1
1612.77  2050.19  386.14   10.03   43.77 1999  1
56.65    3665.02  288.67   6.76    14.48 2000  1
39.10    1689.78  218.63   7.03    7.23  2001  1
17.21    251.40   159.98   0.02    0.57  2002  1
3.57     9.67      27.10   0.41    0.82  2003  1
8.33     28.74     49.57   0.00    0.31  2004  1
3.13     32.82    157.99   0.13    1.22  2005  1
6.01     12.86    193.19   0.00    0.88  2006  1
4.81     1.55     228.39   2.91    1.93  2007  1
2.15     42.15    217.96   0.00    1.25  2008  1
4.19     36.45    135.35   0.21    0.41  2009  1
4.73     54.67    106.35   0.00    0.15  2010  1
18.34    43.88    149.65   0.00    0.12  2011  1
41.23    47.36    181.43   0.00    0.33  2012  1
51.27    241.09   176.41   0.00    0.98  2013  1
71.28    306.62   342.16   0.03    1.84  2014  1

#################################################################

72 #_N_cpue_and_surveyabundance_observations

#_Units:  0=numbers; 1=biomass; 2=F
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_Fleet Units Errtype
1 1 0   # 1 Bottom Trawl
2 1 0   # 2 Midwater Trawl
3 1 0   # 3 Hake
4 1 0   # 4 Net
5 1 0   # 5 HnL
6 0 0   # 6 SCJuvSurvey
7 1 0   # 7 Triennial
8 1 0   # 8 NWFSC
9 1 0   # 9 Foreign At-sea (overlaps with JV)

#_year seas index obs        se(log)
# Oregon bottom trawl survey same as in previous assessments (yers=16)
 1984   1   1     331.4700    0.2121
 1985   1   1     100.8800    0.1875
 1986   1   1     227.0800    0.2928
 1987   1   1     169.0800    0.2730
 1988   1   1      93.9700    0.2897
 1989   1   1     164.1000    0.1749
 1990   1   1      78.4900    0.1348
 1991   1   1      73.5900    0.1275
 1992   1   1      83.1600    0.1179
 1993   1   1      53.5800    0.1314
 1994   1   1     100.3400    0.1128
 1995   1   1     109.9600    0.1387
 1996   1   1      94.8100    0.1357
 1997   1   1      97.2300    0.1502
 1998   1   1      56.5600    0.1718
 1999   1   1      84.4600    0.1684
# JV At-sea Bycatch (years=7)
 1983   1   3       2.8890    0.1202
 1985   1   3       0.7760    0.1165
 1986   1   3       0.8230    0.0809
 1987   1   3       0.3200    0.0875
 1988   1   3       0.6590    0.0774
 1989   1   3       0.8240    0.0635
 1990   1   3       0.7100    0.0740
# Dom At-sea Bycatch (years=8)
 1991   1   3       1.2640    0.1251
 1992   1   3       0.7810    0.1251
 1993   1   3       0.8010    0.1038
 1994   1   3       1.4650    0.0685
 1995   1   3       0.4550    0.1057
 1996   1   3       1.0180    0.0824
 1997   1   3       0.8860    0.0767
 1998   1   3       1.3300    0.0786
# Juvenile survey indices copied from Ralston report supllied by Field (03/20/2015) (year=9)
2004    1   6      73.6998   0.6013
2005    1   6      14.1540   0.6089
2006    1   6      3.2871    0.6013
2007    1   6      2.8577    0.5936
2008    1   6      7.5383    0.6089
2009    1   6      5.8124    0.6013
2011    1   6      7.3891    0.6240
2013    1   6      1032.7702 0.9800
2014    1   6      204.3839  0.9340
#Triennial Survey (delta-GLMM with gamma ECE and random strata:year effect) (years=9)
1980    1   7  7255.865841 0.732
1983    1   7  10838.68441 0.690
1986    1   7  5847.209382 0.774
1989    1   7  3884.95191  0.702
1992    1   7  7441.370551 0.707
1995    1   7  5885.029811 0.712
1998    1   7  9717.837618 0.696
2001    1   7  1980.617889 0.742
2004    1   7  1069.111566 0.853
# NWFSC combo survey (delta-GLMM gamma ECE with random strata:year and no covariates) (years=12)
2003    1   8  2779.535033 0.364
2004    1   8  1182.169013 0.485
2005    1   8  1760.564208 0.423
2006    1   8  2656.898268 0.362
2007    1   8  3035.756487 0.370
2008    1   8  1668.115919 0.428
2009    1   8  2836.496094 0.370
2010    1   8  3720.149288 0.353
2011    1   8  3613.069077 0.327
2012    1   8  2814.298996 0.369
2013    1   8  4121.929003 0.534
2014    1   8  2224.452458 0.344
# Foreign At-sea Bycatch (years=11)
1977    1   9    0.7700    0.1153
1978    1   9    1.2050    0.1118
1979    1   9    0.7030    0.1186
1980    1   9    1.9930    0.1311
1981    1   9    0.7280    0.1257
1982    1   9    0.2430    0.2467
1984    1   9    2.9370    0.1254
1985    1   9    0.4070    0.1074
1986    1   9    1.1110    0.1027
1987    1   9    0.3900    0.0881
1988    1   9    0.5130    0.1243


###########################################################
# #CHECK THE DISCARD AMOUNTS
3 #_N_fleets_with_discard
# #Fleet  Units  Error
 1       1      -2
 2       1      -2
 5       1      -2
37 #_N_discard_obs
# #I calculated median from ptEst and SElog
# #Year Season Fleet Observation Error
# #Bottom Trawl, Pikitch (years=3, limit it to the years of the study)
# 1981    1   1   791.2   0.5080
# 1982    1   1   1327.3  0.4217
# 1983    1   1   1691.3  0.4199
# 1984    1   1   512.1   0.5205
1985    1   1   462.9   0.4953
1986    1   1   534.8   0.5311
1987    1   1   1035.5  0.4257
# 1988    1   1   1079.9  0.4153
# 1989    1   1   1111.7  0.4268
# 1990    1   1   898.6   0.4853
# 1991    1   1   1123.3  0.4048
# 1992    1   1   1111.9  0.4261
# 1993    1   1   1296.5  0.4431
# 1994    1   1   1081.5  0.4128
# #EDCP (years=5)
1995    1   1   924.8   0.8318
1996    1   1   3084.5  0.6707
1997    1   1   3353.3  0.7506
1998    1   1   42.6    0.4880
1999    1   1   4.8     0.6878
# #WCGOP (years=12)
2002    1   1   13.22  0.4307
2003    1   1   1.21   0.8196
2004    1   1   5.13   0.7589
2005    1   1   10.17  0.4461
2006    1   1   0.03   1.3556
2007    1   1   13.86  0.6157
2008    1   1   3.90   0.4454
2009    1   1   26.57  0.3377
2010    1   1   22.74  0.5432
2011    1   1   0.08   0.05
2012    1   1   0.01   0.05
2013    1   1   2.43   0.05
# #Midwater Trawl, Pikitch (years=3, limit to years of study)
# 1981    1   2   6311.7  0.2294
# 1982    1   2   5578.5  0.2255
# 1984    1   2   1692.1  0.2302
1985    1   2   1502.0  0.2409
1986    1   2   1321.2  0.2364
1987    1   2   1798.4  0.2620
# 1988    1   2   1568.3  0.2445
# 1989    1   2   1921.5  0.2487
# 1990    1   2   1170.8  0.2416
# 1991    1   2    549.9  0.2398
# 1992    1   2    345.4  0.2462
# 1993    1   2    552.4  0.2495
# 1994    1   2    520.2  0.2503
# 1995    1   2    645.2  0.2348
# 1996    1   2    451.9  0.2447
#1997    1   2    644.7  0.2376
#1998    1   2    210.4  0.2513
# #Midwater Trawl (years=2)
1997    1   2      1.0  0.8326
1998    1   2     18.7  0.8
# #Midwater trawl WCGOP (assume no discards for midwater trawl in catch shares) (years=3)
2002    1   2     39.4  0.4071
2012    1   2     0.01  0.05
2013    1   2     0.01  0.05
# #Hook & Line, WCGOP  (years=9)
2004    1   5     0.02 1.1392
2005    1   5     0.21 0.6059
2006    1   5     0.74 0.6893
2007    1   5     0.61 1.0622
2008    1   5     0.64 0.9093
2010    1   5     0.29 0.7564
2011    1   5     0.02 0.8494
2012    1   5     0.04 1.0628
2013    1   5     0.11 0.4096

############################################################################

0 #_N_meanbodywt_obs
30  #_DF_for_meanbodywt_T-distribution_like

2  # length bin method: 1=use databins; 2=generate from width, min,max below; 3=read nbins, then vector
1 6 60
# no additional input for option 1
# read binwidth, minsize, lastbin size for option 2
# read N poplen bins, then vector of bin lower boundaries, for option 3

-1    #_comp_tail_compression
0.0001  #_add_to_comp
7   #_combine males into females at or below this bin number
#CHECK ON THIS

25  #_N_LengthBins
8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56

197 #_N_Length_obs

#Length comps: 8-56cm by 2cm interval
#sample size from the Stewart equation
#BOTTOM TRAWL
#year   Season  Fleet   gender  partition   nSamps  F8  F10 F12 F14 F16 F18 F20 F22 F24 F26 F28 F30 F32 F34 F36 F38 F40 F42 F44 F46 F48 F50 F52 F54 F56 M8  M10 M12 M14 M16 M18 M20 M22 M24 M26 M28 M30 M32 M34 M36 M38 M40 M42 M44 M46 M48 M50 M52 M54 M56
1976    1   1   3   2   14  0   0   0   0   0   0   0   0   0   0   0   0   4.08    2.72    7.04    8.08    6.96    3.92    1.92    4.32    2.32    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3.36    6.32    8.4 9.44    14.24   13.28   3.28    0.32    0   0   0   0   0
1977    1   1   3   2   31  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   6.62    12.64   11.61   8.26    8.96    6.82    3.14    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3.83    8.45    6.9 17.47   3.97    1.34    0   0   0   0   0
1978    1   1   3   2   91  0   0   0   0   0   0   0   0   0   0   0   0   0   0.64    1.32    7.78    10.36   7.4 9.99    6.8 4.86    1.32    0.05    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.64    0.05    3.41    8.07    16.72   10.46   5.41    1.74    1.8 1.22    0   0   0
1979    1   1   3   2   163 0   0   0   0   0   0   0   0   0   0   0   0.26    0.08    0.45    1.57    4.16    11.6    18.52   13.87   10.98   6.53    1.36    0   0.02    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.34    0.9 6.8 11.69   8.33    1.84    0.02    0.44    0.25    0   0   0
1980    1   1   3   2   252 0   0   0   0   0   0   0   0   0   0   0   0   0.24    0.37    0.9 2.29    5.57    14.85   16.43   14.11   4.76    0.82    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.04    0.1 0.57    2.71    7.41    13  12  3.09    0.57    0.02    0.17    0   0   0
1981    1   1   3   2   309 0   0   0   0   0   0   0   0   0   0   0   0.17    0.9 0.47    2.9 4.85    6.5 10.19   13.32   13.09   6.09    1.65    0.11    0   0   0   0   0   0   0   0   0   0   0   0   0.12    0.5 1.35    1.29    3.54    7.65    14.07   8.32    2.83    0.04    0.05    0   0   0   0
1982    1   1   3   2   499 0   0   0   0   0   0   0   0   0   0   0.1 0.65    1.62    4.09    3.31    5.18    6.21    6.98    7.76    11.21   6.84    2.39    1.1 0.9 0.01    0   0   0   0   0   0   0   0   0   0   0.08    0.46    2.35    4.64    3.41    7.8 12.03   8.14    2.23    0.4 0.1 0   0   0   0
1983    1   1   3   2   455 0   0   0   0   0   0   0   0   0.04    0.15    0.55    1.25    3.34    5.79    5.09    5.85    6.33    5.85    7.88    7.88    4.83    1.55    0.7 0.38    0.01    0   0   0   0   0   0   0   0   0.04    0.13    0.62    2.42    4.97    5.7 5.43    6.53    9.22    5.82    1.18    0.43    0.03    0   0   0.01    0
1984    1   1   3   2   859 0   0   0   0   0   0   0   0   0   0   0.09    0.88    3.62    7.08    9.51    6.89    4.47    4.09    3.6 4.7 2.87    1.62    0.37    0.02    0   0   0   0   0   0   0   0   0   0   0.01    0.32    1.5 4.49    11.95   9.93    7.36    6.63    5.37    1.9 0.58    0.06    0.08    0   0   0
1985    1   1   3   2   804 0   0   0   0   0   0   0   0   0   0.01    0.16    0.75    2.25    3.64    7.31    10.22   8.28    5.98    4.27    6.35    3.55    1.71    0.37    0.03    0   0   0   0   0   0   0   0   0   0   0.09    0.29    1.21    2.68    6.52    9.04    10.69   7.88    4.8 1.5 0.41    0.01    0   0   0   0
1986    1   1   3   2   629 0   0   0   0   0   0   0   0   0   0.12    0.56    2.1 2.14    3.13    4.46    5.08    8.42    6.84    4.26    4.61    4.57    2.6 1.59    0.41    0   0   0   0   0   0   0   0   0   0.04    0.09    0.7 1.97    3.28    6.47    7.38    13.57   9.68    4.5 0.98    0.4 0.02    0   0   0   0
1987    1   1   3   2   399 0   0   0   0   0   0   0   0   0   0.06    0.43    1.04    1.98    3.04    4.49    5.15    8.81    6.86    6.07    5.12    2.85    1.44    0.25    0.01    0   0   0   0   0   0   0   0   0   0.01    0.16    0.27    1.52    2.98    3.52    8.72    12.31   13.3    7.42    1.84    0.29    0.03    0   0   0   0
1988    1   1   3   2   406 0   0   0   0   0   0   0   0   0   0.12    0.68    2.38    4.03    5.82    7.66    7.25    6.49    5.31    5.59    2.97    2.38    1.57    0.42    0.02    0.01    0   0   0   0   0   0   0   0.04    0   0.04    0.58    2.93    3.86    6.92    10.34   9.57    6.53    4.39    1.46    0.41    0.14    0   0.09    0   0
1989    1   1   3   2   530 0   0   0   0   0   0   0   0   0   0.09    0.13    1.2 2.22    7.38    7.9 7.99    6.75    5.84    4.35    3.49    2   0.99    0.57    0.01    0.05    0   0   0   0   0   0   0.09    0   0   0.08    0.19    1.47    5.02    9.72    9.03    9.89    7.57    3.92    1.47    0.5 0.09    0.02    0   0   0
1990    1   1   3   2   568 0   0   0   0   0   0   0   0.04    0.01    0.02    0.04    0.7 1.97    4.15    7.98    7.77    8.07    7.18    4.59    3.44    2.25    1.09    0.3 0.06    0.05    0   0   0   0   0   0   0   0.04    0   0.02    0.17    0.87    3.5 7.78    11.73   11.76   7.71    4.44    1.52    0.54    0.16    0.05    0   0   0.02
1991    1   1   3   2   736 0   0   0   0   0   0   0   0   0.02    0.02    0.41    1.14    1.44    3.42    4.74    7.5 8.44    6.39    6.23    4.19    2.8 2.3 0.8 0.22    0.01    0   0   0   0   0   0   0   0   0   0   0.56    2.27    2.4 4.92    9.24    13.07   10.42   4.87    1.55    0.56    0.06    0   0.01    0   0
1992    1   1   3   2   796 0   0   0   0   0   0   0   0   0   0.03    0.16    0.4 1.36    1.59    3.61    8.57    9.27    8.27    8.5 5.9 3.36    1.73    0.82    0.28    0.09    0   0   0   0   0   0   0   0   0.07    0.07    0.07    0.81    1.49    3.31    6.48    10.47   10.89   8.15    3.15    0.97    0.04    0.04    0.03    0   0
1993    1   1   3   2   781 0   0   0   0   0   0   0   0   0.02    0.05    0.16    0.51    1.58    3.13    4.68    4.81    6.56    9.81    8.68    5.76    4.23    2.21    1.23    0.17    0   0   0   0   0   0   0   0   0   0.02    0.03    0.21    1.19    1.85    5.27    6.62    8.73    11.47   6.84    3.16    0.7 0.26    0.05    0   0   0
1994    1   1   3   2   613 0   0   0   0   0   0   0   0   0.02    0.11    0.25    0.54    1.27    3.94    6.75    7.35    7.04    8.53    7.86    6.34    4.54    2.13    0.86    0.16    0   0   0   0   0   0   0   0   0   0   0.11    0.21    0.56    1.69    4.61    9.78    8.63    8.33    5.24    2.17    0.64    0.34    0   0   0   0
1995    1   1   3   2   593 0   0   0   0   0   0   0   0.01    0.01    0.17    0.62    1.18    1.16    1.98    4.7 8.2 8.98    8.5 5.93    3.54    2.1 1.6 0.25    0.08    0   0   0   0   0   0   0   0   0.01    0   0.03    0.61    1.14    2.01    4.06    10.33   13.59   10.84   5.63    1.85    0.75    0.07    0   0.06    0   0
1996    1   1   3   2   495 0   0   0   0   0   0   0   0   0.11    0.02    0.22    0.71    2.3 4.84    5.92    7.55    9.45    8.06    6.23    3.47    3.46    1.38    0.39    0.23    0   0   0   0   0   0   0   0   0   0   0.03    0.31    0.68    2.55    6.12    9.53    10.18   10.52   3.64    1.44    0.36    0.28    0   0   0   0
1997    1   1   3   2   650 0   0   0   0   0   0   0   0   0   0.15    0.12    0.52    1.76    4.03    7.2 7.93    7.37    5.59    5.35    3.74    2.38    0.97    0.46    0.01    0   0   0   0   0   0   0   0   0   0   0.02    0.43    0.71    2.79    9.28    15.05   11.47   7.24    4.09    0.96    0.19    0.18    0   0   0   0
1998    1   1   3   2   557 0   0   0   0   0   0   0.02    0.08    0.02    0   0.19    0.52    1.29    3.2 5.69    9.24    8.46    6.99    4.72    4.2 2.64    1.61    0.56    0.23    0   0   0   0   0   0   0   0.03    0   0   0.06    0.28    0.91    2.19    4.4 10.22   15.11   10.59   4.03    1.64    0.56    0.19    0.12    0   0   0
1999    1   1   3   2   513 0   0   0   0   0   0   0   0   0.08    0.01    0.37    0.64    3.05    4.14    6.62    8.74    9.13    5.72    3.41    3.54    1.25    0.8 0.2 0.04    0.01    0   0   0   0   0   0   0   0   0.06    0.35    0.31    0.83    3.89    7.36    11.78   13.5    9.32    3.45    1.02    0.28    0.11    0   0   0   0
2000    1   1   3   2   67  0   0   0   0   0   0   0   0   0   0   0   0.04    0.28    1.58    11.31   5.09    16.28   13.13   8.19    6.11    2.36    3.9 1.17    0   0   0   0   0   0   0   0   0   0   0   0   0   0.15    0.39    3.6 4.03    8.54    6.4 7.23    0.15    0   0   0.06    0   0   0
2001    1   1   3   2   52  0   0   0   0   0   0   0   0   0   0   0   1.76    0   5.54    5.71    12.69   4.5 7.52    3.1 2.36    0.52    0.13    0.67    0   0   0   0   0   0   0   0   0   0   0   0   0   3.52    3.63    9.3 9.89    13.64   6.25    6.53    1.72    0.88    0.1 0.03    0   0   0
2002    1   1   3   2   125 0   0   0   0   0   0   0   0   0   0.31    0.88    2.32    7.2 2.02    4.54    4.01    7.89    8.91    3.24    3.15    2.77    0.48    0.33    0.39    0   0   0   0   0   0   0   0   0   0   0.23    2.38    3.99    8.96    3.3 8.25    10.57   7.22    4.94    0.96    0.58    0.18    0   0   0   0
2003    1   1   3   2   46  0   0   0   0   0   0   0   0.15    0.41    0.61    0.78    0.73    3.49    6.95    6.48    13.3    6.17    3.51    1.86    0.75    0.04    0   0   0   0   0   0   0   0   0   0   0   0.15    0.2 1.42    0.68    0.73    1.29    13.31   17.39   9.61    5.14    2.91    0.12    0.61    1.23    0   0   0   0
2004    1   1   3   2   13  0   0   0   0   0   0   0   0   0   0   0   0   0   0.32    5.56    3.84    0   4.9 9.49    14.31   3.84    4.49    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3.84    18.54   7.01    13  10.85   0   0   0   0   0   0
2005    1   1   3   2   16  0   0   0   0   0   0   0   0   0   0   0   0   0   0.37    0.37    2.04    8.53    0.24    32.25   9.01    0.39    0.37    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.86    1.55    10.48   33.16   0   0.37    0   0   0   0   0
2006    1   1   3   2   31  0   0   0   0   0   0   0   0   0   0   0   0   0   0   6.74    12.47   13.9    7.67    6.31    7.17    2.82    0.67    0.3 0   0   0   0   0   0   0   0   0   0   0   0   0   0.67    0.9 2.94    2.27    7.55    10.97   10.72   2.58    0.63    1.25    1.46    0   0   0
2007    1   1   3   2   84  0   0   0   0   0   0   0   0   0   0   0   0   0   0.27    30.53   1.39    3.6 25.35   8.34    4.38    2.83    2.5 1.01    0.06    0   0   0   0   0   0   0   0   0   0   0   0   0.13    0   0.21    0.8 2.56    5.97    5.94    3.08    0.86    0.19    0   0   0   0
2008    1   1   3   2   77  0   0   0   0   0   0   0   0   0   0   0   0   0   0.37    0.64    8.52    5.29    6.43    10.3    9.88    10.19   5.99    1.96    0.33    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.94    1.93    6.61    8.9 11.31   5.99    2.79    1.61    0   0   0   0
2009    1   1   3   2   112 0   0   0   0   0   0   0   0   0   0   0   0   0   0.15    1.13    2.35    5.9 23.71   7.86    6.76    5.76    2.12    0.66    0.54    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.48    0.75    5.47    9.35    16.42   7.78    2.27    0.43    0   0   0.11    0
2010    1   1   3   2   116 0   0   0   0   0   0   0   0   0   0   0   0   0.04    0.36    0.96    2.84    8.46    10.04   7.47    9.46    8.17    3.91    2.27    0.15    0   0   0   0   0   0   0   0   0   0   0   0   0.49    0.05    0.79    1.19    3.12    13.24   14.08   9.29    2.66    0.94    0.01    0.01    0   0
2011    1   1   3   2   80  0   0   0   0   0   0   0   0   0.03    0   0.08    0.55    0.19    1.75    1.38    2.58    2.23    4.71    14.8    15.99   4.66    4.74    3.95    0.59    0   0   0   0   0   0   0   0   0   0   0   0.08    0.59    1.14    1.24    1.15    6.84    5.38    12.32   6.98    3.85    1.48    0.36    0.36    0   0
2012    1   1   3   2   114 0   0   0   0   0   0   0   0   0.03    0   0.2 0.65    0.35    0.93    0.86    2.25    2.31    8.3 13.42   19.42   9.1 5.27    0.58    0.53    0.01    0   0   0   0   0   0   0   0   0   0.22    0.11    0.28    0.95    0.79    0.86    3.91    8.23    10.25   8.09    1.98    0.11    0   0   0   0
2013    1   1   3   2   118 0   0   0   0   0   0   0   0   0   0   1.52    1.41    2.84    1.08    1.66    3.43    6.05    4.98    9.24    26.85   9.18    2.47    0.34    0.13    0   0   0   0   0   0   0   0   0.01    0   0   0.98    3.17    2.2 2.42    0.69    5.54    3.51    6.55    2.12    1.39    0.12    0.12    0   0   0
2014    1   1   3   2   118 0   0   0   0   0   0   0   0   0   0.02    0.05    0.1 1.82    1.74    2.96    6.13    6.39    7.8 8.82    12.01   4.85    3.71    0.92    0   0   0   0   0   0   0   0   0   0   0   0   0.13    0.29    0.4 7.28    3.22    5.44    10.66   8.92    5.74    0.6 0   0   0   0   0
#Pikitch Bottom Trawl discards
############WHAT ARE SAMPLE SIZES
1985    1   1   1   1   85  0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.05    0.05    0.00    0.01    0.03    0.08    0.16    0.21    0.11    0.04    0.12    0.11    0.02    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.05    0.05    0.00    0.01    0.03    0.08    0.16    0.21    0.11    0.04    0.12    0.11    0.02    0.01    0.00    0.00
